date,country_code,country,confirmed,suspected,cured,dead
20200130,CA,加拿大,3,0,0,0
20200130,CN,中国,9692,15238,171,213
20200130,DE,德国,4,0,0,0
20200130,FI,芬兰,1,0,0,0
20200130,FR,法国,5,0,0,0
20200130,IN,印度,1,0,0,0
20200130,JP,日本,11,0,1,0
20200130,KR,韩国,6,0,0,0
20200130,LK,斯里兰卡,1,0,0,0
20200130,MY,马来西亚,8,0,0,0
20200130,NP,尼泊尔,1,0,0,0
20200130,PH,菲律宾,1,0,0,0
20200130,SG,新加坡,10,0,0,0
20200130,TH,泰国,14,0,2,0
20200130,US,美国,5,0,0,0
20200130,VN,越南,2,0,0,0
20200131,AE,阿联酋,4,0,0,0
20200131,AU,澳大利亚,8,0,2,0
20200131,CA,加拿大,3,0,0,0
20200131,CN,中国,11791,17988,243,259
20200131,DE,德国,4,0,0,0
20200131,FI,芬兰,1,0,0,0
20200131,FR,法国,5,0,0,0
20200131,IN,印度,1,0,0,0
20200131,JP,日本,11,0,1,0
20200131,KR,韩国,6,0,0,0
20200131,LK,斯里兰卡,1,0,0,0
20200131,MY,马来西亚,8,0,0,0
20200131,NP,尼泊尔,1,0,0,0
20200131,PH,菲律宾,1,0,0,0
20200131,SG,新加坡,10,0,0,0
20200131,TH,泰国,14,0,2,0
20200131,US,美国,5,0,0,0
20200131,VN,越南,2,0,0,0
20200201,AE,阿联酋,4,0,0,0
20200201,AU,澳大利亚,8,0,2,0
20200201,CA,加拿大,3,0,0,0
20200201,CN,中国,14380,19544,328,304
20200201,DE,德国,4,0,0,0
20200201,FI,芬兰,1,0,0,0
20200201,FR,法国,5,0,0,0
20200201,IN,印度,1,0,0,0
20200201,JP,日本,11,0,1,0
20200201,KR,韩国,6,0,0,0
20200201,LK,斯里兰卡,1,0,0,0
20200201,MY,马来西亚,8,0,0,0
20200201,NP,尼泊尔,1,0,0,0
20200201,PH,菲律宾,1,0,0,0
20200201,SG,新加坡,10,0,0,0
20200201,TH,泰国,14,0,2,0
20200201,US,美国,5,0,0,0
20200201,VN,越南,2,0,0,0
20200202,AE,阿联酋,4,0,0,0
20200202,AU,澳大利亚,8,0,2,0
20200202,CA,加拿大,3,0,0,0
20200202,CN,中国,17205,21558,475,361
20200202,DE,德国,4,0,0,0
20200202,FI,芬兰,1,0,0,0
20200202,FR,法国,5,0,0,0
20200202,IN,印度,1,0,0,0
20200202,JP,日本,11,0,1,0
20200202,KR,韩国,6,0,0,0
20200202,LK,斯里兰卡,1,0,0,0
20200202,MY,马来西亚,8,0,0,0
20200202,NP,尼泊尔,1,0,0,0
20200202,PH,菲律宾,1,0,0,0
20200202,SG,新加坡,10,0,0,0
20200202,TH,泰国,14,0,2,0
20200202,US,美国,5,0,0,0
20200202,VN,越南,2,0,0,0
20200203,AE,阿联酋,4,0,0,0
20200203,AU,澳大利亚,8,0,2,0
20200203,CA,加拿大,3,0,0,0
20200203,CN,中国,20438,23214,632,425
20200203,DE,德国,4,0,0,0
20200203,FI,芬兰,1,0,0,0
20200203,FR,法国,5,0,0,0
20200203,IN,印度,1,0,0,0
20200203,JP,日本,11,0,1,0
20200203,KR,韩国,6,0,0,0
20200203,LK,斯里兰卡,1,0,0,0
20200203,MY,马来西亚,8,0,0,0
20200203,NP,尼泊尔,1,0,0,0
20200203,PH,菲律宾,1,0,0,0
20200203,SG,新加坡,10,0,0,0
20200203,TH,泰国,14,0,2,0
